reaction_temperature,reaction_time_min,ph_value,catalyst_loading,solvent_polarity,stirring_speed_rpm,reactant_ratio,crystallization_time_min,target
101.67,77.47,7.82,3.365,6.18,533,1.169,110.17,1
71.48,124.41,7.15,3.214,7.3,459,1.148,49.12,1
78.46,175.1,5.35,2.193,4.06,323,1.22,81.02,1
83.71,57.6,4.95,3.295,4.3,577,1.287,72.59,0
66.96,126.67,7.75,2.012,5.01,551,1.283,59.66,0
78.03,148.93,6.71,1.821,6.77,527,1.111,94.02,1
77.99,85.62,4.17,1.888,6.41,464,1.204,61.39,0
53.43,130.4,8.67,2.273,5.77,412,0.874,72.84,0
92.25,72.52,8.04,2.109,6.86,491,1.196,91.87,1
86.41,81.57,6.41,2.539,5.54,550,1.203,94.8,1
69.24,81.4,6.38,1.846,5.76,503,1.01,94.0,1
75.6,116.73,7.17,3.088,8.02,501,0.941,147.55,1
85.07,106.82,5.7,3.319,4.8,459,1.069,70.9,1
74.34,143.39,4.64,1.954,6.11,564,0.862,92.01,1
74.6,77.09,7.32,1.116,8.54,550,1.141,51.24,0
57.65,105.41,4.5,3.051,5.97,422,1.133,98.48,1
85.76,143.64,7.43,3.425,7.0,619,0.909,117.3,1
79.73,129.63,4.49,2.253,4.77,623,1.089,118.99,1
81.84,63.64,6.64,1.242,9.13,626,1.272,67.2,0
56.63,133.28,6.58,2.64,1.98,503,1.271,77.18,1
101.11,93.26,9.65,3.772,3.87,495,1.262,120.35,0
80.16,123.49,5.1,0.711,4.01,369,1.053,82.39,1
72.58,120.52,4.54,2.83,8.55,618,1.019,111.84,1
106.41,152.68,5.77,2.118,6.4,242,1.01,57.77,0
77.36,114.08,5.0,1.63,5.35,469,1.187,123.73,1
57.69,45.12,5.86,2.848,3.62,476,1.503,113.76,0
72.33,62.05,7.47,1.231,6.42,631,1.333,97.99,0
45.96,135.59,8.04,2.667,5.99,520,1.365,62.64,0
92.69,100.96,9.46,3.582,4.62,395,1.323,80.53,0
72.17,149.83,5.62,2.559,3.26,335,0.79,89.24,1
67.6,119.57,11.02,1.611,3.93,425,1.044,92.38,0
93.01,83.78,9.97,0.799,6.16,534,1.002,82.07,0
54.88,147.88,6.47,1.246,6.33,527,1.305,78.88,0
85.5,81.74,3.13,0.743,5.92,494,1.384,90.39,0
49.1,38.16,6.67,3.84,5.54,431,0.96,124.08,0
68.73,182.23,6.92,2.175,2.79,493,1.087,28.78,0
61.14,43.12,3.12,1.459,5.88,650,1.18,46.59,0
98.47,132.27,6.92,1.232,4.04,377,0.992,41.74,1
102.73,142.86,6.48,1.439,5.87,524,0.967,65.76,0
73.39,115.15,5.54,2.098,6.59,730,0.958,36.27,1
89.77,51.08,7.8,1.246,4.65,592,1.239,100.49,0
75.48,145.53,8.41,3.909,4.06,461,0.916,87.68,1
85.95,59.55,6.02,1.727,7.49,606,1.284,77.89,1
67.46,62.97,7.17,1.696,6.4,422,1.096,65.92,0
54.08,97.34,5.75,2.677,4.72,521,1.215,89.39,1
52.76,137.6,5.54,3.706,1.0,722,1.358,89.99,0
83.36,120.5,6.93,3.592,5.72,766,0.96,94.25,1
109.47,138.38,7.64,1.961,6.87,298,0.933,64.59,0
81.77,94.47,5.9,2.63,7.71,611,1.157,103.18,1
70.66,103.97,3.26,2.534,4.65,773,0.894,43.88,0
104.77,70.2,7.74,2.877,4.71,449,0.949,119.98,0
81.32,98.91,4.25,2.63,5.05,554,1.06,20.0,1
79.42,130.76,7.0,1.551,7.22,716,1.108,68.38,1
81.54,99.51,9.65,1.266,3.8,456,0.856,51.34,0
76.15,126.64,6.77,2.558,5.61,579,1.011,107.11,1
73.67,89.94,4.9,1.335,4.23,512,1.185,43.42,1
57.91,89.27,4.46,3.627,6.26,270,1.322,136.01,0
85.02,111.37,8.67,2.436,3.16,565,0.727,41.75,1
76.67,103.18,6.77,1.477,6.44,496,1.315,141.8,1
94.7,130.73,7.66,2.111,4.96,641,1.238,97.54,1
72.84,116.24,8.28,1.943,5.42,792,0.885,85.86,1
51.31,170.91,6.72,2.282,6.69,609,0.816,97.2,0
76.61,102.32,6.31,3.251,7.74,472,1.155,146.39,1
101.79,102.05,5.28,1.1,2.92,579,1.005,110.01,0
72.63,73.6,1.87,0.719,7.51,546,1.104,22.47,0
65.54,110.8,4.37,2.704,6.75,653,1.234,118.44,1
61.29,133.9,6.69,2.24,5.3,333,1.013,91.49,1
63.3,84.09,6.52,2.547,8.19,368,1.109,39.72,0
73.8,108.26,7.45,2.8,6.12,254,1.165,106.29,1
61.48,135.15,6.6,2.237,8.0,599,1.239,51.09,1
98.97,105.56,7.05,3.12,4.79,518,1.396,90.07,1
74.04,91.83,8.06,1.596,4.33,437,1.385,91.53,0
79.52,144.06,5.38,2.458,7.88,426,1.123,66.84,1
98.14,113.4,6.34,1.652,9.48,446,1.038,103.13,1
99.05,123.88,4.23,1.383,6.88,399,1.505,56.4,0
75.02,151.0,8.36,2.954,7.32,478,1.195,90.35,1
82.65,150.09,6.86,2.912,4.99,456,1.157,69.68,1
88.29,97.85,7.58,0.652,3.55,701,0.883,79.89,0
75.3,91.61,9.27,1.39,5.42,562,1.22,138.84,0
53.11,119.95,8.53,2.663,8.35,414,0.941,88.14,0
87.17,105.35,6.7,3.363,2.64,444,0.998,54.55,1
90.52,43.5,8.06,1.801,4.96,676,0.841,81.72,0
83.82,154.64,4.51,2.235,2.55,579,0.987,63.46,1
65.07,110.68,7.49,1.128,5.98,558,1.091,85.74,1
75.26,135.77,7.02,4.66,7.29,614,0.811,89.53,0
69.73,68.95,4.21,2.828,3.69,726,0.92,87.38,0
73.8,155.09,8.94,3.205,5.1,362,1.066,87.35,0
96.16,89.41,5.67,2.992,8.05,423,0.854,69.76,1
99.41,106.23,7.89,3.24,5.65,294,0.856,97.58,1
87.37,60.95,6.13,2.947,3.69,584,0.931,114.61,1
85.68,104.16,8.39,2.098,3.56,471,0.828,67.63,1
87.47,101.96,8.9,3.07,2.38,433,1.19,83.36,1
77.83,103.51,5.47,2.471,7.11,421,0.902,86.7,1
76.94,125.35,4.35,3.567,4.53,610,1.218,120.1,1
68.57,112.11,6.59,1.738,7.59,502,1.246,115.22,1
77.22,144.15,8.16,1.913,7.27,451,0.865,64.56,1
109.64,93.61,6.21,2.995,4.68,683,1.087,87.03,1
90.17,75.14,5.82,3.552,4.9,384,0.994,43.17,0
73.21,109.33,7.58,2.531,7.12,356,0.876,57.97,1
71.39,131.99,2.38,1.759,6.05,857,1.02,85.42,0
65.9,153.56,5.74,2.293,6.26,472,1.037,102.64,1
83.24,138.49,4.59,1.952,3.0,449,1.207,111.72,0
83.48,48.21,7.27,4.107,7.33,425,1.264,76.3,0
57.8,123.2,5.62,3.209,4.31,502,0.883,47.12,0
84.81,161.11,5.02,3.538,1.94,622,1.007,96.11,0
70.03,112.19,6.23,2.671,4.75,618,1.175,80.15,1
97.97,91.94,4.45,1.9,6.52,591,1.291,96.87,1
80.2,120.82,6.78,3.456,9.37,484,0.642,89.48,1
102.05,92.39,5.71,3.889,5.17,326,1.309,105.04,0
71.59,132.37,6.2,2.924,3.54,557,1.05,103.33,1
73.97,109.55,5.65,2.378,9.41,717,1.355,108.62,0
82.2,158.76,8.26,3.373,6.07,659,1.004,72.14,1
92.78,127.48,6.63,2.066,5.36,498,0.931,112.87,1
85.92,84.66,7.64,3.088,3.97,624,1.088,70.92,1
60.73,131.16,7.57,1.76,4.09,470,1.29,87.38,0
80.56,142.76,5.51,1.527,8.31,513,1.086,137.1,1
78.31,90.1,7.71,2.91,5.34,360,0.657,94.99,0
71.99,95.1,7.36,2.704,4.89,479,1.203,52.35,1
68.93,29.32,7.3,4.114,4.93,538,0.791,126.73,0
102.47,141.62,6.16,2.148,8.47,498,0.904,113.0,1
72.53,89.43,6.12,2.421,4.8,620,0.871,116.93,1
66.16,35.72,8.06,1.374,6.87,765,0.75,90.52,0
86.92,48.09,10.29,0.718,6.25,692,0.855,94.68,0
79.83,102.2,5.47,0.797,6.21,480,0.903,78.48,1
76.94,136.62,7.66,2.817,4.31,425,0.97,65.4,1
88.94,106.88,6.21,1.341,6.92,435,1.07,127.84,1
84.84,126.51,8.06,3.414,8.53,393,1.02,74.69,1
83.07,71.45,7.5,3.68,5.71,524,0.814,71.54,1
91.5,63.05,8.5,2.143,4.24,575,1.047,72.58,1
81.97,141.0,2.33,3.893,3.6,544,1.255,137.15,0
69.36,127.23,5.84,2.604,6.12,545,1.251,109.59,1
72.93,108.93,5.22,3.412,5.34,541,1.104,74.7,1
70.71,154.87,6.63,2.197,5.62,503,1.191,83.72,1
80.94,76.71,5.64,3.263,5.82,423,1.241,99.29,1
62.91,95.29,5.77,1.551,3.29,744,1.325,109.6,0
52.35,145.92,7.89,2.96,7.13,656,1.385,39.91,0
79.23,174.32,9.84,1.987,6.2,402,1.022,110.31,0
59.29,110.29,2.28,2.282,5.67,402,1.031,78.9,0
50.67,168.78,6.3,2.969,6.19,444,1.345,65.79,0
83.23,88.91,7.3,2.555,7.37,524,1.361,74.07,1
68.05,121.54,6.81,2.333,5.89,684,1.357,107.17,1
84.95,103.92,6.25,3.055,4.35,652,0.658,134.24,1
70.57,54.41,4.63,3.123,7.78,659,1.04,89.14,0
62.29,119.03,5.29,1.153,5.06,661,0.6,100.59,1
60.59,142.65,7.96,2.903,4.57,664,1.211,62.21,0
70.79,104.81,8.52,3.004,3.14,616,1.09,98.76,1
74.17,107.53,6.95,1.723,5.81,579,1.089,108.03,1
66.47,158.75,5.46,2.747,4.02,505,1.055,43.34,0
74.06,66.26,6.95,1.208,4.92,293,1.315,70.64,0
56.49,57.58,6.42,3.695,6.56,503,1.027,107.14,0
78.2,87.11,7.67,2.186,5.86,754,1.266,35.75,1
52.89,68.12,6.99,2.329,7.53,450,1.18,74.53,1
75.29,157.12,5.81,3.478,6.32,439,1.144,101.82,1
87.76,120.84,7.11,2.272,5.11,652,1.163,37.66,1
93.29,79.76,4.91,2.939,5.24,530,1.1,73.89,1
102.0,88.49,8.11,1.457,4.94,458,0.883,86.54,1
56.21,210.14,8.69,1.887,6.9,722,1.209,109.93,0
88.62,88.65,4.91,1.147,5.84,601,1.208,49.2,0
94.89,83.33,7.47,2.213,5.1,618,1.054,116.07,0
91.73,120.65,5.21,3.328,7.24,447,1.212,93.56,1
