reaction_temperature,reaction_time_min,ph_value,catalyst_loading,solvent_polarity,stirring_speed_rpm,reactant_ratio,crystallization_time_min,target
84.95,82.26,6.6,2.677,6.89,536,1.199,96.3,1
76.06,105.98,5.27,0.861,8.06,464,1.291,84.32,0
87.07,127.67,4.23,1.187,6.13,536,1.113,59.7,0
99.32,140.3,7.13,3.069,7.01,591,0.847,94.08,0
74.72,67.99,5.59,2.554,5.65,526,1.152,51.99,1
74.72,98.29,4.52,2.234,8.25,525,0.963,118.26,0
100.11,93.38,5.77,2.417,4.65,429,0.985,71.99,0
88.74,87.13,5.07,2.713,8.86,434,1.186,90.63,0
71.43,171.79,9.5,1.914,5.73,338,1.303,92.93,0
85.6,124.17,8.21,1.7,3.37,747,1.084,77.75,1
71.51,65.87,6.79,2.576,6.02,358,1.136,101.43,0
71.48,142.13,9.17,1.519,4.64,430,1.386,71.7,0
81.39,184.28,6.92,2.767,7.23,427,1.123,109.4,0
51.21,146.14,5.42,0.868,4.69,636,1.548,47.31,0
53.85,56.82,9.24,3.326,5.04,482,1.182,88.54,0
70.13,93.05,7.66,2.825,2.59,682,0.763,139.29,0
63.82,154.34,5.14,2.63,5.03,432,1.216,56.99,0
82.4,85.23,6.5,3.284,1.68,556,1.149,66.02,1
65.29,125.53,5.4,3.899,3.11,411,1.312,99.39,0
58.23,137.11,4.59,3.313,7.09,799,1.201,90.03,0
98.52,77.56,8.28,0.743,7.14,366,1.055,94.82,0
74.84,107.92,9.86,1.248,6.52,560,0.86,98.7,0
78.95,20.0,4.56,1.838,4.16,602,1.042,102.77,0
58.05,74.15,7.7,2.423,5.72,574,0.927,116.07,0
70.38,101.16,5.76,2.866,5.79,496,0.976,96.47,1
79.55,66.33,6.02,1.747,3.83,503,1.186,78.24,0
61.89,167.13,5.85,2.568,8.36,526,1.381,103.83,0
83.26,59.95,5.42,1.72,7.29,501,1.151,138.2,0
69.59,94.6,6.88,1.85,5.42,645,0.865,81.29,1
73.92,114.58,5.47,1.134,5.85,807,1.16,57.71,0
69.58,160.44,7.23,1.569,6.15,448,1.295,116.0,0
103.93,59.74,6.72,1.183,2.33,342,0.97,81.63,0
77.81,150.71,6.42,1.522,5.38,509,1.056,24.17,0
63.19,110.36,5.35,3.348,4.64,855,1.083,108.73,0
89.52,75.65,5.88,1.546,4.1,416,0.939,70.01,0
60.91,126.17,8.01,4.769,5.32,733,1.197,82.47,0
80.92,116.97,7.6,2.844,8.86,738,1.058,94.3,1
50.56,88.99,5.24,2.566,6.89,448,1.156,90.33,1
59.41,112.44,6.96,1.627,4.83,594,0.92,104.86,0
80.76,96.51,8.0,3.03,6.77,732,1.001,72.81,1
88.34,113.97,4.13,1.882,8.18,471,1.21,99.37,0
80.4,133.17,7.67,2.51,7.37,494,1.013,77.73,1
76.38,165.51,5.74,4.704,5.9,444,1.391,105.69,0
73.78,66.68,7.71,2.314,4.7,388,1.008,102.23,0
57.3,184.66,5.58,3.434,6.99,436,1.12,58.81,0
67.92,41.68,3.91,1.767,6.47,361,1.248,115.41,0
71.55,104.69,4.2,2.369,7.32,524,0.825,69.99,0
92.8,130.59,6.88,3.994,6.88,420,0.763,107.63,0
82.81,119.83,7.22,1.836,7.58,550,0.805,95.28,1
53.32,88.21,5.35,4.031,4.89,318,1.307,136.47,0
82.54,102.72,7.82,3.037,8.04,563,0.981,78.74,1
72.61,92.74,4.14,1.894,6.14,628,1.54,75.22,0
68.52,89.37,6.69,2.969,9.33,261,0.978,84.46,0
86.56,139.74,4.86,3.275,4.63,569,1.113,76.51,1
92.43,122.5,5.76,2.96,8.75,680,1.358,107.4,1
91.04,85.75,6.88,0.987,6.14,363,1.441,39.74,0
66.25,141.49,5.42,1.746,4.69,737,1.451,55.5,0
73.67,120.76,6.18,2.177,4.98,574,1.298,55.1,1
82.64,138.45,8.41,2.333,5.26,428,1.264,111.61,0
91.66,132.04,5.88,2.959,6.52,513,1.187,132.9,1
71.29,80.99,8.14,2.56,6.69,593,1.22,82.08,0
75.4,90.39,4.99,1.198,4.82,530,0.981,80.27,0
62.51,136.16,7.65,2.742,5.76,590,0.933,86.96,0
61.25,131.36,9.11,2.95,9.44,400,1.079,117.53,0
